frame,t_s,in_count,out_count,tracks_in_frame
0,0.0,0,0,1
1,0.07,0,0,1
2,0.13,0,0,1
3,0.2,0,0,1
4,0.27,0,0,1
5,0.33,0,0,1
6,0.4,0,0,1
7,0.47,0,0,1
8,0.53,0,0,1
9,0.6,0,0,1
10,0.67,0,0,1
11,0.73,0,0,1
12,0.8,0,0,1
13,0.87,0,0,1
14,0.93,0,0,1
15,1.0,0,0,1
16,1.07,0,0,1
17,1.13,0,0,1
18,1.2,0,0,1
19,1.27,0,0,1
20,1.33,0,0,1
21,1.4,0,0,1
22,1.47,0,0,1
23,1.53,0,0,1
24,1.6,0,0,1
25,1.67,0,0,1
26,1.73,0,0,1
27,1.8,0,0,1
28,1.87,0,0,1
29,1.93,0,0,1
30,2.0,0,0,1
31,2.07,0,0,1
32,2.13,0,0,1
33,2.2,0,0,1
34,2.27,0,0,1
35,2.33,0,0,1
36,2.4,0,0,1
37,2.47,0,0,1
38,2.53,0,0,1
39,2.6,0,0,1
40,2.67,0,0,1
41,2.73,0,0,1
42,2.8,0,0,1
43,2.87,0,0,1
44,2.93,0,0,1
45,3.0,0,0,1
46,3.07,0,0,1
47,3.13,0,0,1
48,3.2,0,0,1
49,3.27,0,0,1
50,3.33,0,0,1
51,3.4,0,0,1
52,3.47,0,0,1
53,3.53,0,0,1
54,3.6,0,0,1
55,3.67,0,0,1
56,3.73,0,0,1
57,3.8,0,0,1
58,3.87,0,0,1
59,3.93,0,0,1
60,4.0,0,0,1
61,4.07,0,0,1
62,4.13,0,0,1
63,4.2,0,0,1
64,4.27,0,0,1
65,4.33,0,0,1
66,4.4,0,0,1
67,4.47,0,0,1
68,4.53,0,0,1
69,4.6,0,0,1
70,4.67,0,0,1
71,4.73,0,0,2
72,4.8,0,0,2
73,4.87,0,0,2
74,4.93,0,0,2
75,5.0,0,0,2
76,5.07,0,0,2
77,5.13,0,0,2
78,5.2,0,0,2
79,5.27,0,0,2
80,5.33,0,0,2
81,5.4,0,0,2
82,5.47,0,0,2
83,5.53,0,0,2
84,5.6,0,0,2
85,5.67,0,0,2
86,5.73,0,0,2
87,5.8,0,0,2
88,5.87,0,0,2
89,5.93,0,0,2
90,6.0,0,0,2
91,6.07,0,0,2
92,6.13,0,0,2
93,6.2,0,0,2
94,6.27,0,0,2
95,6.33,0,0,2
96,6.4,0,0,2
97,6.47,0,0,2
98,6.53,0,0,3
99,6.6,0,0,3
100,6.67,0,0,3
101,6.73,0,0,3
102,6.8,0,0,3
103,6.87,0,0,3
104,6.93,0,0,3
105,7.0,0,0,2
106,7.07,0,0,3
107,7.13,0,0,2
108,7.2,0,0,4
109,7.27,0,0,4
110,7.33,0,0,4
111,7.4,0,0,3
112,7.47,0,0,4
113,7.53,0,0,3
114,7.6,0,0,3
115,7.67,0,0,3
116,7.73,0,0,3
117,7.8,0,0,3
118,7.87,0,0,3
119,7.93,0,0,3
120,8.0,0,0,3
121,8.07,0,0,3
122,8.13,0,0,3
123,8.2,0,0,3
124,8.27,0,0,3
125,8.33,0,0,3
126,8.4,0,0,3
127,8.47,0,0,3
128,8.53,0,0,3
129,8.6,0,0,3
130,8.67,0,0,3
131,8.73,0,0,3
132,8.8,0,0,3
133,8.87,0,0,3
134,8.93,0,0,3
135,9.0,0,0,3
136,9.07,0,0,3
137,9.13,0,0,3
138,9.2,0,0,2
139,9.27,0,0,3
140,9.33,0,0,2
141,9.4,0,0,2
142,9.47,0,0,3
143,9.53,0,0,2
144,9.6,0,0,2
145,9.67,0,0,2
146,9.73,0,0,3
147,9.8,0,0,3
148,9.87,0,0,3
149,9.93,0,0,3
150,10.0,0,0,2
151,10.07,0,0,2
152,10.13,0,0,2
153,10.2,0,0,2
154,10.27,0,0,2
155,10.33,0,0,2
156,10.4,0,0,2
157,10.47,0,0,2
158,10.53,0,0,2
159,10.6,0,0,2
160,10.67,0,0,2
161,10.73,0,0,2
162,10.8,0,0,2
163,10.87,0,0,2
164,10.93,0,0,3
165,11.0,0,0,2
166,11.07,0,0,2
167,11.13,0,0,2
168,11.2,0,0,2
169,11.27,0,0,2
170,11.33,0,0,2
171,11.4,0,0,2
172,11.47,0,0,2
173,11.53,0,0,2
174,11.6,0,0,2
175,11.67,0,0,2
176,11.73,0,0,2
177,11.8,0,0,2
178,11.87,0,0,2
179,11.93,0,0,2
180,12.0,0,0,2
181,12.07,0,0,2
182,12.13,0,0,2
183,12.2,0,0,2
184,12.27,0,0,2
185,12.33,0,0,2
186,12.4,0,0,2
187,12.47,0,0,2
188,12.53,0,0,2
189,12.6,0,0,2
190,12.67,0,0,2
191,12.73,0,0,2
192,12.8,0,0,2
193,12.87,0,0,2
194,12.93,0,0,2
195,13.0,0,0,2
196,13.07,0,0,2
197,13.13,0,0,2
198,13.2,0,0,2
199,13.27,0,0,2
200,13.33,0,0,2
201,13.4,0,0,2
202,13.47,0,0,2
203,13.53,0,0,2
204,13.6,0,0,2
205,13.67,0,0,2
206,13.73,0,0,2
207,13.8,0,0,2
208,13.87,0,0,2
209,13.93,0,0,2
210,14.0,0,0,2
211,14.07,0,0,2
212,14.13,0,0,2
213,14.2,0,0,2
214,14.27,0,0,2
215,14.33,0,0,2
216,14.4,0,0,2
217,14.47,0,0,2
218,14.53,0,0,2
219,14.6,0,0,2
220,14.67,0,0,2
221,14.73,0,0,2
222,14.8,0,0,2
223,14.87,0,0,2
224,14.93,0,0,2
225,15.0,0,0,2
226,15.07,0,0,2
227,15.13,0,0,2
228,15.2,0,0,2
229,15.27,0,0,2
230,15.33,0,0,2
231,15.4,0,0,2
232,15.47,0,0,2
233,15.53,0,0,2
234,15.6,0,0,2
235,15.67,0,0,2
236,15.73,0,0,3
237,15.8,0,0,3
238,15.87,0,0,3
239,15.93,0,0,4
240,16.0,0,0,3
241,16.07,0,0,3
242,16.13,0,0,2
243,16.2,0,0,4
244,16.27,0,0,4
245,16.33,0,0,4
246,16.4,0,0,4
247,16.47,0,0,3
248,16.53,0,0,3
249,16.6,0,0,4
250,16.67,0,0,3
251,16.73,0,0,3
252,16.8,0,0,3
253,16.87,0,0,3
