class,test_instances,precision,recall,mAP50,mAP50-95,violation_class
machinery,44,0.8135,0.7955,0.8255,0.5875,False
Hardhat,110,0.9782,0.7182,0.863,0.4839,False
Mask,28,1.0,0.7253,0.7753,0.4753,False
Safety Vest,61,0.8476,0.7705,0.8002,0.4743,False
Person,174,0.8495,0.6839,0.7449,0.4385,False
NO-Safety Vest,90,0.9632,0.5819,0.7167,0.3632,True
vehicle,41,0.8174,0.4634,0.5788,0.355,False
NO-Hardhat,41,0.7441,0.5122,0.5192,0.2338,True
NO-Mask,79,0.8529,0.4405,0.5946,0.2108,True
Safety Cone,92,0.6798,0.3696,0.3797,0.1489,False
