nms_iou,conf,P[NO-Hardhat],R[NO-Hardhat],P[NO-Mask],R[NO-Mask],P[NO-Safety Vest],R[NO-Safety Vest],precision_viol,recall_viol,tp,fp,fn
0.4,0.05,0.5319,0.6098,0.3769,0.6203,0.6735,0.7333,0.5274,0.6544,140,135,70
0.4,0.1,0.6098,0.6098,0.5109,0.5949,0.7952,0.7333,0.6386,0.646,138,78,72
0.4,0.15,0.6579,0.6098,0.5875,0.5949,0.8421,0.7111,0.6958,0.6386,136,58,74
0.4,0.2,0.6944,0.6098,0.6232,0.5443,0.8649,0.7111,0.7275,0.6217,132,47,78
0.4,0.25,0.6944,0.6098,0.6885,0.5316,0.8676,0.6556,0.7502,0.599,126,39,84
0.4,0.3,0.7353,0.6098,0.7222,0.4937,0.8806,0.6556,0.7794,0.5863,123,32,87
0.4,0.35,0.7576,0.6098,0.7755,0.481,0.9322,0.6111,0.8218,0.5673,118,23,92
0.4,0.4,0.7419,0.561,0.8372,0.4557,1.0,0.6,0.8597,0.5389,113,15,97
0.4,0.5,0.7692,0.4878,0.8857,0.3924,1.0,0.5778,0.885,0.486,103,10,107
0.4,0.6,0.8182,0.439,0.963,0.3291,1.0,0.4889,0.927,0.419,88,5,122
0.4,0.7,0.7778,0.3415,0.9444,0.2152,1.0,0.4222,0.9074,0.3263,69,5,141
0.5,0.05,0.5208,0.6098,0.3581,0.6709,0.6346,0.7333,0.5045,0.6713,144,156,66
0.5,0.1,0.6098,0.6098,0.4851,0.6203,0.75,0.7333,0.615,0.6544,140,90,70
0.5,0.15,0.6579,0.6098,0.5647,0.6076,0.8,0.7111,0.6742,0.6428,137,66,73
0.5,0.2,0.6944,0.6098,0.6143,0.5443,0.8421,0.7111,0.7169,0.6217,132,50,78
0.5,0.25,0.6944,0.6098,0.6885,0.5316,0.8676,0.6556,0.7502,0.599,126,39,84
0.5,0.3,0.7353,0.6098,0.7222,0.4937,0.8806,0.6556,0.7794,0.5863,123,32,87
0.5,0.35,0.7576,0.6098,0.7755,0.481,0.9322,0.6111,0.8218,0.5673,118,23,92
0.5,0.4,0.7419,0.561,0.8372,0.4557,1.0,0.6,0.8597,0.5389,113,15,97
0.5,0.5,0.7692,0.4878,0.8857,0.3924,1.0,0.5778,0.885,0.486,103,10,107
0.5,0.6,0.8182,0.439,0.963,0.3291,1.0,0.4889,0.927,0.419,88,5,122
0.5,0.7,0.7778,0.3415,0.9444,0.2152,1.0,0.4222,0.9074,0.3263,69,5,141
0.6,0.05,0.4808,0.6098,0.3034,0.6835,0.5583,0.7444,0.4475,0.6792,146,204,64
0.6,0.1,0.5814,0.6098,0.4545,0.6329,0.7097,0.7333,0.5819,0.6587,141,105,69
0.6,0.15,0.641,0.6098,0.5104,0.6203,0.7619,0.7111,0.6378,0.647,138,81,72
0.6,0.2,0.6757,0.6098,0.5714,0.557,0.8101,0.7111,0.6857,0.6259,133,60,77
0.6,0.25,0.6757,0.6098,0.6667,0.5316,0.8429,0.6556,0.7284,0.599,126,44,84
0.6,0.3,0.7143,0.6098,0.7091,0.4937,0.8806,0.6556,0.768,0.5863,123,34,87
0.6,0.35,0.7353,0.6098,0.76,0.481,0.9322,0.6111,0.8092,0.5673,118,25,92
0.6,0.4,0.7419,0.561,0.8372,0.4557,1.0,0.6,0.8597,0.5389,113,15,97
0.6,0.5,0.7692,0.4878,0.8857,0.3924,1.0,0.5778,0.885,0.486,103,10,107
0.6,0.6,0.8182,0.439,0.963,0.3291,1.0,0.4889,0.927,0.419,88,5,122
0.6,0.7,0.7778,0.3415,0.9444,0.2152,1.0,0.4222,0.9074,0.3263,69,5,141
0.7,0.05,0.4032,0.6098,0.2333,0.7089,0.4621,0.7444,0.3662,0.6877,148,299,62
0.7,0.1,0.4808,0.6098,0.3399,0.6582,0.6321,0.7444,0.4842,0.6708,144,167,66
0.7,0.15,0.5682,0.6098,0.4153,0.6203,0.7222,0.7222,0.5686,0.6507,139,113,71
0.7,0.2,0.625,0.6098,0.4681,0.557,0.7831,0.7222,0.6254,0.6296,134,83,76
0.7,0.25,0.6579,0.6098,0.5676,0.5316,0.8451,0.6667,0.6902,0.6027,127,56,83
0.7,0.3,0.7143,0.6098,0.629,0.4937,0.8696,0.6667,0.7376,0.59,124,42,86
0.7,0.35,0.7353,0.6098,0.717,0.481,0.9167,0.6111,0.7896,0.5673,118,29,92
0.7,0.4,0.7188,0.561,0.8182,0.4557,0.9818,0.6,0.8396,0.5389,113,18,97
0.7,0.5,0.7692,0.4878,0.8857,0.3924,1.0,0.5778,0.885,0.486,103,10,107
0.7,0.6,0.8182,0.439,0.963,0.3291,1.0,0.4889,0.927,0.419,88,5,122
0.7,0.7,0.7778,0.3415,0.9444,0.2152,1.0,0.4222,0.9074,0.3263,69,5,141
