epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6353,1.38803,3.16309,1.47375,0.50768,0.2784,0.29832,0.13428,1.87222,3.04503,1.80684,0.000236,0.000236,0.000236
2,109.452,1.32713,2.02274,1.44773,0.49289,0.37551,0.37573,0.15906,1.9642,2.59846,1.96661,0.00045523,0.00045523,0.00045523
3,149.883,1.28626,1.73914,1.41608,0.64108,0.38831,0.43163,0.1858,1.9692,2.3077,1.85026,0.00065561,0.00065561,0.00065561
4,189.631,1.24311,1.62465,1.38779,0.61177,0.45413,0.48117,0.22578,1.82779,2.18389,1.81077,0.000629177,0.000629177,0.000629177
5,229.826,1.22364,1.53654,1.36325,0.70741,0.47464,0.53281,0.23904,1.85618,1.91096,1.78685,0.000600902,0.000600902,0.000600902
6,269.992,1.20233,1.47468,1.34879,0.66678,0.51017,0.5478,0.24105,1.92716,1.89899,1.86697,0.000572628,0.000572628,0.000572628
7,310.032,1.17768,1.41486,1.33034,0.67575,0.52023,0.57265,0.25258,1.91175,1.75356,1.80809,0.000544354,0.000544354,0.000544354
8,348.964,1.15341,1.34489,1.31263,0.6735,0.55957,0.6004,0.29282,1.79872,1.61796,1.72548,0.000516079,0.000516079,0.000516079
9,388.263,1.14631,1.31341,1.29597,0.72153,0.57097,0.6099,0.30727,1.7034,1.59358,1.63902,0.000487805,0.000487805,0.000487805
10,428.404,1.11926,1.25966,1.28591,0.71795,0.55211,0.58891,0.26881,1.82007,1.55932,1.78549,0.00045953,0.00045953,0.00045953
11,468.184,1.11005,1.23263,1.27399,0.78345,0.54754,0.62887,0.29173,1.86999,1.49848,1.74987,0.000431256,0.000431256,0.000431256
12,508.103,1.10435,1.18277,1.26668,0.71993,0.57613,0.63621,0.2978,1.78902,1.41493,1.69448,0.000402982,0.000402982,0.000402982
13,548.283,1.08011,1.16332,1.24968,0.75632,0.61132,0.65256,0.34515,1.64234,1.42316,1.59556,0.000374707,0.000374707,0.000374707
14,588.056,1.0776,1.12954,1.24617,0.7975,0.61744,0.68927,0.36168,1.61437,1.26778,1.5721,0.000346433,0.000346433,0.000346433
15,628.196,1.05526,1.10852,1.22851,0.786,0.62195,0.68811,0.35812,1.66468,1.24156,1.62196,0.000318158,0.000318158,0.000318158
16,668.107,1.08779,1.05773,1.25582,0.79882,0.64148,0.6935,0.36644,1.57512,1.22831,1.58004,0.000289884,0.000289884,0.000289884
17,705.386,1.0607,0.98677,1.23297,0.84302,0.65023,0.7173,0.38577,1.53311,1.1835,1.526,0.00026161,0.00026161,0.00026161
18,741.636,1.05152,0.96635,1.22347,0.828,0.64654,0.71947,0.38069,1.5417,1.14252,1.51852,0.000233335,0.000233335,0.000233335
19,779.135,1.02697,0.92972,1.20884,0.83995,0.64624,0.72391,0.3846,1.5386,1.13383,1.52814,0.000205061,0.000205061,0.000205061
20,816.688,1.00467,0.9026,1.19712,0.82265,0.67296,0.73051,0.38464,1.58168,1.13044,1.57684,0.000176786,0.000176786,0.000176786
21,854.106,0.99198,0.87918,1.18583,0.85839,0.64444,0.728,0.40319,1.54715,1.09415,1.53156,0.000148512,0.000148512,0.000148512
22,891.251,0.97705,0.86004,1.17566,0.88467,0.6653,0.75168,0.4319,1.4632,1.01827,1.45838,0.000120238,0.000120238,0.000120238
23,927.57,0.95858,0.83111,1.16148,0.86972,0.68338,0.75269,0.42933,1.45402,1.01639,1.44524,9.19632e-05,9.19632e-05,9.19632e-05
24,965.229,0.9527,0.82218,1.15916,0.86115,0.68604,0.75963,0.42532,1.48186,1.00689,1.47387,6.36888e-05,6.36888e-05,6.36888e-05
25,1002.57,0.93645,0.80692,1.14641,0.90078,0.67224,0.7607,0.41944,1.50543,1.01249,1.49883,3.54144e-05,3.54144e-05,3.54144e-05
