epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4438,1.60984,3.25106,1.60047,0.34756,0.2742,0.23296,0.0847,2.15565,3.11897,2.04494,0.000236275,0.000236275,0.000236275
2,102.839,1.51534,2.22164,1.56626,0.51277,0.44011,0.41949,0.14695,2.15935,2.65788,2.03714,0.000458624,0.000458624,0.000458624
3,143.556,1.45886,1.90551,1.50926,0.61183,0.42908,0.4494,0.15174,2.30393,2.29414,2.16021,0.000665265,0.000665265,0.000665265
4,183.548,1.44165,1.80814,1.49615,0.62296,0.50047,0.52762,0.18699,2.21089,2.11147,2.08591,0.000643314,0.000643314,0.000643314
5,223.497,1.3949,1.69954,1.45886,0.63877,0.49978,0.51954,0.18109,2.19526,2.04239,2.06097,0.000619752,0.000619752,0.000619752
6,261.82,1.37855,1.63638,1.44517,0.643,0.50841,0.52638,0.16489,2.35014,1.93515,2.14775,0.00059619,0.00059619,0.00059619
7,300.132,1.35388,1.59371,1.42472,0.66446,0.52595,0.55534,0.1897,2.24628,1.79883,2.06817,0.000572628,0.000572628,0.000572628
8,337.915,1.32499,1.52345,1.4053,0.68691,0.53127,0.54635,0.19618,2.29697,1.77387,2.1356,0.000549066,0.000549066,0.000549066
9,376.559,1.329,1.50433,1.40457,0.6937,0.55177,0.57443,0.20289,2.21504,1.71047,2.05229,0.000525504,0.000525504,0.000525504
10,415.387,1.30974,1.47049,1.39399,0.67668,0.55383,0.55883,0.19931,2.23725,1.67731,2.05964,0.000501942,0.000501942,0.000501942
11,454.253,1.30848,1.44549,1.37584,0.73839,0.53056,0.5907,0.21388,2.23261,1.6127,2.0944,0.00047838,0.00047838,0.00047838
12,493.048,1.28238,1.40084,1.35896,0.71725,0.55148,0.59598,0.23567,2.06403,1.58409,1.90624,0.000454818,0.000454818,0.000454818
13,531.809,1.28709,1.38513,1.36053,0.75344,0.554,0.61174,0.22909,2.16863,1.52605,2.00494,0.000431256,0.000431256,0.000431256
14,570.326,1.27086,1.37447,1.35675,0.73048,0.57235,0.61531,0.2426,2.17732,1.53937,2.03696,0.000407694,0.000407694,0.000407694
15,608.553,1.26567,1.35231,1.34575,0.71692,0.56179,0.60161,0.20948,2.29564,1.51888,2.10236,0.000384132,0.000384132,0.000384132
16,647.658,1.25203,1.32666,1.33833,0.77868,0.57262,0.64101,0.25519,2.077,1.45204,1.91669,0.00036057,0.00036057,0.00036057
17,686.561,1.24906,1.31642,1.32915,0.75762,0.60246,0.65139,0.25097,2.14446,1.44863,1.97896,0.000337008,0.000337008,0.000337008
18,725.22,1.24046,1.29288,1.32205,0.74861,0.60575,0.63687,0.25308,2.11633,1.42093,1.94681,0.000313446,0.000313446,0.000313446
19,763.925,1.23636,1.28862,1.32652,0.77095,0.59723,0.64586,0.25944,2.04141,1.39759,1.85886,0.000289884,0.000289884,0.000289884
20,802.518,1.22269,1.27036,1.31879,0.73665,0.60331,0.65691,0.26173,2.1257,1.38835,1.93831,0.000266322,0.000266322,0.000266322
21,841.314,1.20479,1.21993,1.34118,0.78784,0.58931,0.64694,0.25984,2.13303,1.42215,1.97774,0.00024276,0.00024276,0.00024276
22,876.262,1.1912,1.17481,1.32864,0.7665,0.61946,0.65198,0.2581,2.09896,1.39352,1.9412,0.000219198,0.000219198,0.000219198
23,912.325,1.17945,1.1531,1.32297,0.78484,0.60953,0.65586,0.25392,2.10921,1.37312,1.94863,0.000195636,0.000195636,0.000195636
24,947.797,1.17521,1.14189,1.32067,0.81033,0.62009,0.68267,0.28435,2.02071,1.31404,1.85818,0.000172074,0.000172074,0.000172074
25,982.27,1.14769,1.11486,1.30493,0.82824,0.59938,0.67889,0.28204,2.02312,1.30863,1.87566,0.000148512,0.000148512,0.000148512
26,1017.76,1.14834,1.10773,1.30078,0.83727,0.6197,0.69483,0.29146,2.04843,1.30255,1.87477,0.00012495,0.00012495,0.00012495
27,1052.76,1.13529,1.086,1.29144,0.78633,0.63413,0.68361,0.29204,2.01693,1.30675,1.85571,0.000101388,0.000101388,0.000101388
28,1088.13,1.13681,1.07527,1.28826,0.79776,0.63077,0.68821,0.27435,2.08877,1.29331,1.91954,7.7826e-05,7.7826e-05,7.7826e-05
29,1123.42,1.13064,1.07095,1.29179,0.83877,0.62799,0.69651,0.28399,2.03984,1.27862,1.87471,5.4264e-05,5.4264e-05,5.4264e-05
30,1157.51,1.11965,1.06032,1.2851,0.81362,0.64389,0.6963,0.29701,2.00662,1.26648,1.84455,3.0702e-05,3.0702e-05,3.0702e-05
